profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
140,1510830,2019-03-11,2019-03-12,0,0,0,0,0,0
141,1510830,2019-03-12,2019-03-13,0,0,0,0,0,0
142,1510830,2019-03-13,2019-03-14,0,0,0,0,0,0
143,1510830,2019-03-14,2019-03-15,0,4,0,40,40,1.66666666667
144,1510830,2019-03-15,2019-03-16,4,8,40,80,40,1.66666666667
145,1510830,2019-03-17,2019-03-18,0,0,0,0,0,0
146,1510830,2019-03-18,2019-03-19,0,4,0,40,40,1.66666666667
147,1510830,2019-03-19,2019-03-20,4,6,40,60,20,0.833333333333
148,1510830,2019-03-20,2019-03-21,6,6,60,60,0,0
149,1510830,2019-03-22,2019-03-23,0,6,0,60,60,2.5
150,1510830,2019-03-24,2019-03-25,0,2,0,20,20,0.833333333333
151,1510830,2019-03-25,2019-03-26,2,4,20,40,20,0.833333333333
152,1510830,2019-03-26,2019-03-27,4,4,40,40,0,0
153,1510830,2019-03-27,2019-03-28,4,6,40,60,20,0.833333333333
154,1510830,2019-03-29,2019-03-30,0,4,0,40,40,1.66666666667
155,1510830,2019-03-30,2019-03-31,4,6,40,60,20,0.833333333333
156,1510830,2019-04-01,2019-04-02,0,0,0,0,0,0
157,1510830,2019-04-02,2019-04-03,0,0,0,0,0,0
158,1510830,2019-04-03,2019-04-04,0,0,0,0,0,0
159,1510830,2019-04-04,2019-04-05,0,8,0,80,80,3.33333333333
160,1510830,2019-04-06,2019-04-07,0,4,0,40,40,1.66666666667
161,1510830,2019-04-07,2019-04-08,4,4,40,40,0,0
162,1510830,2019-04-08,2019-04-09,4,4,40,40,0,0
163,1510830,2019-04-10,2019-04-11,0,2,0,20,20,0.833333333333
164,1510830,2019-04-11,2019-04-12,2,4,20,40,20,0.833333333333
165,1510830,2019-04-12,2019-04-13,4,8,40,80,40,1.66666666667
166,1510830,2019-04-14,2019-04-15,0,0,0,0,0,0
167,1510830,2019-04-15,2019-04-16,0,0,0,0,0,0
168,1510830,2019-04-16,2019-04-17,0,0,0,0,0,0
169,1510830,2019-04-17,2019-04-18,0,4,0,40,40,1.66666666667
170,1510830,2019-04-18,2019-04-19,4,4,40,40,0,0
171,1510830,2019-04-19,2019-04-20,4,8,40,80,40,1.66666666667
172,1510830,2019-04-21,2019-04-22,0,0,0,0,0,0
173,1510830,2019-04-22,2019-04-23,0,0,0,0,0,0
174,1510830,2019-04-23,2019-04-24,0,2,0,20,20,0.833333333333
175,1510830,2019-04-24,2019-04-25,2,6,20,60,40,1.66666666667
176,1510830,2019-04-26,2019-04-27,0,0,0,0,0,0
177,1510830,2019-04-27,2019-04-28,0,0,0,0,0,0
178,1510830,2019-04-28,2019-04-29,0,4,0,40,40,1.66666666667
179,1510830,2019-04-29,2019-04-30,4,4,40,40,0,0
180,1510830,2019-04-30,2019-05-01,4,8,40,80,40,1.66666666667
181,1510830,2019-05-02,2019-05-03,0,0,0,0,0,0
182,1510830,2019-05-03,2019-05-04,0,0,0,0,0,0
183,1510830,2019-05-04,2019-05-05,0,2,0,20,20,0.833333333333
184,1510830,2019-05-05,2019-05-06,2,2,20,20,0,0
185,1510830,2019-05-09,2019-05-10,0,0,0,0,0,0
186,1510830,2019-05-10,2019-05-11,0,4,0,40,40,1.66666666667
187,1510830,2019-05-11,2019-05-12,4,6,40,60,20,0.833333333333
188,1510830,2019-05-13,2019-05-14,0,0,0,0,0,0
189,1510830,2019-05-14,2019-05-15,0,0,0,0,0,0
190,1510830,2019-05-15,2019-05-16,0,2,0,20,20,0.833333333333
191,1510830,2019-05-16,2019-05-17,2,6,20,60,40,1.66666666667
192,1510830,2019-05-18,2019-05-19,0,2,0,20,20,0.833333333333
193,1510830,2019-05-19,2019-05-20,2,4,20,40,20,0.833333333333
194,1510830,2019-05-20,2019-05-21,4,8,40,80,40,1.66666666667
195,1510830,2019-05-23,2019-05-24,0,4,0,40,40,1.66666666667
196,1510830,2019-05-24,2019-05-25,4,6,40,60,20,0.833333333333
197,1510830,2019-05-26,2019-05-27,0,0,0,0,0,0
198,1510830,2019-05-27,2019-05-28,0,0,0,0,0,0
199,1510830,2019-05-28,2019-05-29,0,0,0,0,0,0
200,1510830,2019-05-29,2019-05-30,0,0,0,0,0,0
201,1510830,2019-05-30,2019-05-31,0,4,0,40,40,1.66666666667
202,1510830,2019-06-01,2019-06-02,0,0,0,0,0,0
203,1510830,2019-06-02,2019-06-03,0,0,0,0,0,0
204,1510830,2019-06-03,2019-06-04,0,0,0,0,0,0
205,1510830,2019-06-04,2019-06-05,0,4,0,40,40,1.66666666667
206,1510830,2019-06-05,2019-06-06,4,6,40,60,20,0.833333333333
207,1510830,2019-06-07,2019-06-08,0,4,0,40,40,1.66666666667
208,1510830,2019-06-08,2019-06-09,4,6,40,60,20,0.833333333333
209,1510830,2019-06-10,2019-06-11,0,0,0,0,0,0
210,1510830,2019-06-11,2019-06-12,0,0,0,0,0,0
211,1510830,2019-06-12,2019-06-13,0,2,0,20,20,0.833333333333
212,1510830,2019-06-13,2019-06-14,2,4,20,40,20,0.833333333333
